Turner,Montana,3306,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1332,49,-108.388,POINT (-108.387916 48.999527)
Port Huron,Michigan,3802,US-Canada Border,2020-01-01,Personal Vehicles,89180,42.999,-82.424,POINT (-82.423611 42.998611)
Richford,Vermont,203,US-Canada Border,2020-01-01,Buses,2,45.012,-72.589,POINT (-72.588559 45.01174)
Portal,North Dakota,3403,US-Canada Border,2020-01-01,Rail Containers Empty,6902,48.999,-102.552,POINT (-102.551944 48.998944)
San Ysidro,California,2504,US-Mexico Border,2020-01-01,Bus Passengers,8608,32.543,-117.029,POINT (-117.028761 32.542528)
Brownsville,Texas,2301,US-Mexico Border,2020-01-01,Trucks,23501,25.952,-97.401,POINT (-97.40067 25.95155)
Richford,Vermont,203,US-Canada Border,2020-01-01,Trucks,408,45.012,-72.589,POINT (-72.588559 45.01174)
Naco,Arizona,2603,US-Mexico Border,2020-01-01,Truck Containers Loaded,46,31.334,-109.948,POINT (-109.948413 31.334084)
Derby Line,Vermont,209,US-Canada Border,2020-01-01,Personal Vehicle Passengers,50921,45.006,-72.099,POINT (-72.099279 45.005739)
Van Buren,Maine,108,US-Canada Border,2020-01-01,Pedestrians,2,47.16,-67.931,POINT (-67.930799 47.159645)
Danville,Washington,3012,US-Canada Border,2020-01-01,Trucks,63,49,-118.504,POINT (-118.503722 49.000083)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Truck Containers Empty,5268,28.705,-100.512,POINT (-100.511977 28.705483)
Port Huron,Michigan,3802,US-Canada Border,2020-01-01,Train Passengers,486,42.999,-82.424,POINT (-82.423611 42.998611)
San Luis,Arizona,2608,US-Mexico Border,2020-01-01,Pedestrians,263073,32.485,-114.782,POINT (-114.7822222 32.485)
Sweetgrass,Montana,3310,US-Canada Border,2020-01-01,Trains,38,48.998,-111.96,POINT (-111.959611 48.998388)
El Paso,Texas,2402,US-Mexico Border,2020-01-01,Trucks,67451,31.764,-106.451,POINT (-106.451188 31.764363)
Dalton Cache,Alaska,3106,US-Canada Border,2020-01-01,Personal Vehicle Passengers,597,59.451,-136.362,POINT (-136.361944 59.450556)
Buffalo Niagara Falls,New York,901,US-Canada Border,2020-01-01,Trucks,73662,43.095,-79.056,POINT (-79.055847 43.09549)
Ambrose,North Dakota,3410,US-Canada Border,2020-01-01,Personal Vehicle Passengers,167,48.999,-103.487,POINT (-103.486555 48.999305)
Champlain Rouses Point,New York,712,US-Canada Border,2020-01-01,Buses,441,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Del Bonita,Montana,3322,US-Canada Border,2020-01-01,Truck Containers Loaded,42,48.999,-112.788,POINT (-112.78825 48.998555)
Sweetgrass,Montana,3310,US-Canada Border,2020-01-01,Rail Containers Loaded,2268,48.998,-111.96,POINT (-111.959611 48.998388)
Alcan,Alaska,3104,US-Canada Border,2020-01-01,Trucks,553,62.615,-141.001,POINT (-141.001444 62.614961)
Neche,North Dakota,3404,US-Canada Border,2020-01-01,Personal Vehicle Passengers,4092,49.001,-97.557,POINT (-97.557333 49.000527)
Naco,Arizona,2603,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,43941,31.334,-109.948,POINT (-109.948413 31.334084)
Warroad,Minnesota,3423,US-Canada Border,2020-01-01,Personal Vehicles,5968,48.999,-95.377,POINT (-95.376555 48.999)
International Falls,Minnesota,3604,US-Canada Border,2020-01-01,Personal Vehicle Passengers,39399,48.608,-93.401,POINT (-93.401355 48.6078)
Limestone,Maine,118,US-Canada Border,2020-01-01,Personal Vehicles,825,46.925,-67.79,POINT (-67.789597 46.924555)
Van Buren,Maine,108,US-Canada Border,2020-01-01,Rail Containers Loaded,752,47.16,-67.931,POINT (-67.930799 47.159645)
Roseau,Minnesota,3426,US-Canada Border,2020-01-01,Buses,1,49,-95.766,POINT (-95.766469 48.999538)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Trucks,14820,28.705,-100.512,POINT (-100.511977 28.705483)
Norton,Vermont,211,US-Canada Border,2020-01-01,Truck Containers Empty,247,45.011,-71.793,POINT (-71.793219 45.010771)
Warroad,Minnesota,3423,US-Canada Border,2020-01-01,Trucks,523,48.999,-95.377,POINT (-95.376555 48.999)
Boundary,Washington,3015,US-Canada Border,2020-01-01,Buses,2,49.001,-117.628,POINT (-117.627583 49.00075)
Buffalo Niagara Falls,New York,901,US-Canada Border,2020-01-01,Bus Passengers,15533,43.095,-79.056,POINT (-79.055847 43.09549)
Frontier,Washington,3020,US-Canada Border,2020-01-01,Buses,20,49,-117.832,POINT (-117.831527 49.0005)
St John,North Dakota,3405,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1393,48.999,-99.659,POINT (-99.659111 48.999277)
Willow Creek,Montana,3325,US-Canada Border,2020-01-01,Personal Vehicle Passengers,373,49,-109.731,POINT (-109.731333 48.999972)
Ogdensburg,New York,701,US-Canada Border,2020-01-01,Truck Containers Empty,904,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Piegan,Montana,3316,US-Canada Border,2020-01-01,Personal Vehicles,3231,48.998,-113.379,POINT (-113.378777 48.998083)
Metaline Falls,Washington,3025,US-Canada Border,2020-01-01,Trucks,262,49,-117.299,POINT (-117.299444 48.999972)
Presidio,Texas,2403,US-Mexico Border,2020-01-01,Trucks,967,29.562,-104.395,POINT (-104.394907 29.561827)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020-01-01,Personal Vehicle Passengers,74661,46.509,-84.361,POINT (-84.360833 46.508611)
Eastport,Idaho,3302,US-Canada Border,2020-01-01,Pedestrians,184,49.001,-116.181,POINT (-116.181027 49.000555)
Houlton,Maine,106,US-Canada Border,2020-01-01,Personal Vehicle Passengers,22501,46.135,-67.781,POINT (-67.781288 46.134879)
St John,North Dakota,3405,US-Canada Border,2020-01-01,Personal Vehicles,751,48.999,-99.659,POINT (-99.659111 48.999277)
Boundary,Washington,3015,US-Canada Border,2020-01-01,Trains,26,49.001,-117.628,POINT (-117.627583 49.00075)
San Luis,Arizona,2608,US-Mexico Border,2020-01-01,Personal Vehicle Passengers,423350,32.485,-114.782,POINT (-114.7822222 32.485)
Frontier,Washington,3020,US-Canada Border,2020-01-01,Personal Vehicles,3487,49,-117.832,POINT (-117.831527 49.0005)
Trout River,New York,715,US-Canada Border,2020-01-01,Personal Vehicles,7099,44.992,-74.308,POINT (-74.308172 44.992058)
Walhalla,North Dakota,3407,US-Canada Border,2020-01-01,Truck Containers Empty,498,49,-97.908,POINT (-97.908416 49.000472)
Portal,North Dakota,3403,US-Canada Border,2020-01-01,Personal Vehicle Passengers,6796,48.999,-102.552,POINT (-102.551944 48.998944)
Ferry,Washington,3013,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1015,49,-118.761,POINT (-118.761166 49.000083)
Pembina,North Dakota,3401,US-Canada Border,2020-01-01,Truck Containers Loaded,15153,49,-97.237,POINT (-97.237036 49.000453)
Turner,Montana,3306,US-Canada Border,2020-01-01,Personal Vehicles,661,49,-108.388,POINT (-108.387916 48.999527)
Sarles,North Dakota,3409,US-Canada Border,2020-01-01,Truck Containers Empty,8,49,-98.938,POINT (-98.938361 49.000027)
Sault Sainte Marie,Michigan,3803,US-Canada Border,2020-01-01,Bus Passengers,557,46.509,-84.361,POINT (-84.360833 46.508611)
Danville,Washington,3012,US-Canada Border,2020-01-01,Pedestrians,5,49,-118.504,POINT (-118.503722 49.000083)
Ferry,Washington,3013,US-Canada Border,2020-01-01,Truck Containers Empty,5,49,-118.761,POINT (-118.761166 49.000083)
Port Huron,Michigan,3802,US-Canada Border,2020-01-01,Trains,233,42.999,-82.424,POINT (-82.423611 42.998611)
